Day,BJP: (India),Congress: (India)
2019-01-01,9,9
2019-01-02,10,11
2019-01-03,12,10
2019-01-04,11,9
2019-01-05,11,10
2019-01-06,8,13
2019-01-07,11,12
2019-01-08,12,12
2019-01-09,11,8
2019-01-10,9,9
2019-01-11,10,9
2019-01-12,8,9
2019-01-13,9,10
2019-01-14,10,11
2019-01-15,10,8
2019-01-16,10,10
2019-01-17,9,9
2019-01-18,11,9
2019-01-19,11,10
2019-01-20,11,10
2019-01-21,12,9
2019-01-22,10,8
2019-01-23,10,12
2019-01-24,10,11
2019-01-25,11,12
2019-01-26,9,9
2019-01-27,14,16
2019-01-28,9,10
2019-01-29,10,12
2019-01-30,8,9
2019-01-31,11,9
2019-02-01,13,11
2019-02-02,11,11
2019-02-03,10,12
2019-02-04,13,10
2019-02-05,10,7
2019-02-06,10,9
2019-02-07,10,13
2019-02-08,12,9
2019-02-09,11,9
2019-02-10,10,11
2019-02-11,9,10
2019-02-12,12,9
2019-02-13,13,9
2019-02-14,12,10
2019-02-15,10,10
2019-02-16,8,10
2019-02-17,11,9
2019-02-18,13,8
2019-02-19,16,10
2019-02-20,12,9
2019-02-21,9,10
2019-02-22,10,9
2019-02-23,8,9
2019-02-24,8,9
2019-02-25,8,9
2019-02-26,12,9
2019-02-27,8,10
2019-02-28,8,10
2019-03-01,8,10
2019-03-02,9,9
2019-03-03,10,9
2019-03-04,11,10
2019-03-05,20,11
2019-03-06,15,9
2019-03-07,14,11
2019-03-08,14,10
2019-03-09,14,12
2019-03-10,15,12
2019-03-11,17,11
2019-03-12,18,16
2019-03-13,17,15
2019-03-14,22,17
2019-03-15,21,15
2019-03-16,32,20
2019-03-17,45,24
2019-03-18,34,22
2019-03-19,39,19
2019-03-20,42,19
2019-03-21,100,21
2019-03-22,78,25
2019-03-23,68,29
2019-03-24,55,31
2019-03-25,46,24
2019-03-26,56,23
2019-03-27,38,21
2019-03-28,39,25
2019-03-29,36,26
2019-03-30,30,21
2019-03-31,31,21
2019-04-01,34,22
2019-04-02,36,42
2019-04-03,36,37
2019-04-04,39,26
2019-04-05,35,27
2019-04-06,38,23
2019-04-07,38,27
2019-04-08,73,26
2019-04-09,51,25
2019-04-10,41,26
2019-04-11,55,30
2019-04-12,39,25
2019-04-13,32,26
2019-04-14,33,22
2019-04-15,35,21
2019-04-16,33,21
2019-04-17,38,29
2019-04-18,40,27
2019-04-19,33,26
2019-04-20,28,25
2019-04-21,37,23
2019-04-22,43,27
2019-04-23,58,28
2019-04-24,29,21
2019-04-25,26,22
2019-04-26,24,18
2019-04-27,22,16
2019-04-28,32,23
2019-04-29,36,21
2019-04-30,21,17
2019-05-01,22,16
2019-05-02,18,16
2019-05-03,18,16
2019-05-04,21,16
2019-05-05,24,16
2019-05-06,27,16
2019-05-07,20,14
2019-05-08,22,16
2019-05-09,22,17
2019-05-10,24,15
2019-05-11,27,19
2019-05-12,38,22
2019-05-13,21,15
2019-05-14,23,16
2019-05-15,20,14
2019-05-16,22,14
2019-05-17,27,14
2019-05-18,23,17
2019-05-19,51,27
